universe_name,security_id,ticker,membership_start_date,membership_end_date,as_of_date,source,version,inclusion_reason,exclusion_reason
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:AGCC,AGCC,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:AGEN,AGEN,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:AGIO,AGIO,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:AGNC,AGNC,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:AGNT,AGNT,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:AGPU,AGPU,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:AGYS,AGYS,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:AHCO,AHCO,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:AHMA,AHMA,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:AIAI,AIAI,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
